id,city,name,address
B0004S344060114,佛山,建设银行顺德嘉信城市花园支行,佛山市顺德区大良街道德和居委会祥和路嘉信城市花园五期18、19、20号商铺
B0004S344060118,佛山,建设银行佛山御泉湾支行,佛山市高明区荷城街道高明大道东500号8座105铺、106铺
B0004S344060119,佛山,建设银行佛山山水一品支行,佛山市三水区西南街道三兴路11号山水一品花园1018号、1019号、1020号、1021号
B0004S344060120,佛山,建设银行顺德水藤支行,佛山市顺德区乐从镇水藤大道31号之三地商铺
B0004S344060121,佛山,建设银行佛山凯德翰城支行,佛山市禅城区湾梁路23号首层P14、P15、P16、P17号
B0004S344060122,佛山,建设银行佛山佛平路支行,佛山市南海区桂城街道佛平二路115号首层之一
B0004S344060124,佛山,建设银行顺德文海支行,佛山市顺德区容桂街道办事处海尾社区居民委员会文海西路8号保利合园商铺095、096、097、098、099、100、101号
B0004S344060126,佛山,建设银行佛山瀚天科技城支行,佛山市南海区桂城街道平西上海村东平路南侧瀚天科技城B2区1、2号2101铺
B0004S344060127,佛山,建设银行佛山依云天汇支行,佛山市南海区桂城街道南平路26号依云天汇花苑1号、2号、3号、4号、5号铺
B0004S344060128,佛山,建设银行佛山乐安支行,佛山市南海区狮山镇罗村街道乐安乐城二路北鸿安街2号鸿安庭苑综合楼23号、24号、25号、32号铺
B0004S344060129,佛山,建设银行顺德杏坛支行,佛山市顺德区杏坛镇齐杏居委会杏龙路71号创富公寓1号楼首层101、102、103、104、105、106、107、108、109号及二层201号商铺
B0004S344060130,佛山,建设银行佛山轻纺城支行,佛山市南海区西樵镇樵高路33号首层1-3号铺位
B0004S344060131,佛山,建设银行佛山东海蓝湾支行,佛山市三水区西南街道华兴路1号101、102、103、104、105号商铺
B0004S344060132,佛山,建设银行佛山三洲支行,佛山市高明区碧桂园房地产开发有限公司商铺首层
B0004S344060133,佛山,建设银行顺德小王布支行,佛山市顺德区容桂街道德胜社区居委会容奇大道东39号骏景金晖花园8、56号铺
B0004S344060134,佛山,建设银行顺德碧桂园新翼支行,佛山市顺德区北滘镇碧桂园社区居民委员会碧桂园大道2号碧桂园总部碧乐时光新翼广场1层122-1、123、141-1商铺
B0004S344060135,佛山,建设银行顺德德富支行,佛山市顺德区乐从镇兴乐居委会乐从大道东A106号金钻商贸公寓首层商铺01、02、03
B0004S344060136,佛山,建设银行顺德假日美域支行,佛山市顺德区龙江镇文华路50号假日美域花园3栋首层4、5、6、7、8号及二层6、7、8号商铺
B0004S344060137,佛山,建设银行顺德建龙支行,佛山市顺德区龙江镇龙山社区居民委员会325国道龙峰大道1号佛奥棕榈园佛奥综合楼商铺13号之一（首层）
B0004S344060138,佛山,建设银行佛山汇豪嘉园支行,佛山市南海区大沥镇盐步广佛路平地段89号汇豪嘉园127、128、129、130、131、132、133、134号商铺
B0004S344060139,佛山,建设银行佛山白坭支行,佛山市三水区白坭镇黄金大道19号宏达华庭2座3-8号铺
B0004S345090001,玉林,建设银行北流支行,广西北流市新松路0017号
B0004S345090002,玉林,建设银行博白支行,广西博白县博白镇锦绣西路001号
B0004S345090003,玉林,建设银行陆川支行,广西壮族自治区陆川县温泉镇新洲中路95号
B0004S345090004,玉林,建设银行容县支行,广西壮族自治区容县容州镇新北街260号
B0004S345090005,玉林,建设银行玉林大府园支行,广西玉林市人民中路51号
B0004S345090006,玉林,建设银行玉林玉东支行,广西壮族自治区玉林市教育东路东南侧富林•金桂丽湾L-1#楼1039号房、1050号房
B0004S345090007,玉林,建设银行玉林铁路支行,广西壮族自治区玉林市苗园路393－6号
B0004S345090008,玉林,建设银行玉林兴业支行,广西壮族自治区兴业县石南镇建设路2号
B0004S345090009,玉林,建设银行玉林玉柴路支行,广西玉林市玉柴路6号
B0004S345090010,玉林,建设银行玉林玉州支行,广西玉林市人民中路106号－1
B0004S345090011,玉林,建设银行玉林教育东路支行,广西玉林市教育东路358号
B0004S345090012,玉林,建设银行玉林教育中路支行,广西壮族自治区玉林市教育中路299号玉林师院西校区东廊42--46号
B0004S345090013,玉林,建设银行玉林一环北路支行,广西玉林市大北路562号
B0004S345090014,玉林,建设银行玉林金都支行,广西壮族自治区玉林市金玉路377号万昌·东方巴黎商住小区18栋-19栋07、08号商铺
B0004S345090015,玉林,建设银行玉林江南路支行,广西壮族自治区玉林市新民路39号华商国际·B区4幢商铺11-18号
B0004S345090016,玉林,建设银行玉林民主中路支行,广西玉林市民主中路96号
B0004S345090017,玉林,建设银行玉林工业品市场支行,广西玉林市人民中路399号
B0004S345090018,玉林,建设银行博白南州路支行,广西博白县博白镇南州北路57号荣华苑一层临街铺面
B0004S345090019,玉林,建设银行容县登高支行,广西容县容州镇车站西路富盛广场6幢109-2号商铺
B0004S345090020,玉林,建设银行北流一环西路支行,广西北流市一环西路0201-1号
B0004S345090021,玉林,建设银行陆川九洲市场支行,广西壮族自治区陆川县温泉镇新洲中路223号
B0004S345090022,玉林,建设银行北流南园支行,广西壮族自治区北流市北流镇南园一路0002号南园新苑1号楼10至12号商铺
B0004S350000041,重庆,建设银行重庆南川长和星街支行,重庆市南川区西城街道办事处文体路18号20-22、文兴路3号
B0004S350040060,重庆,建设银行重庆北碚胜利路支行,重庆市北碚区胜利路81号
B0004S350050002,重庆,建设银行重庆巴南融汇半岛支行,重庆市巴南区汇宾一路274号
B0004U232010022,南京,建设银行南京大光路支行,南京市白下区大光路39号108室
B0004U237010002,济南,建设银行济南铁道支行济南站分理处,济南市天桥区车站街7-1号
B0004U237010010,济南,建设银行济南历下支行山东大学南校区分理处,济南市千佛山路3号
B0004U237010011,济南,建设银行济南高新支行东城逸家分理处,济南市龙奥北路909号龙奥国际广场3号楼109房
B0004U237010014,济南,建设银行济南历下支行青年东路分理处,济南市青年东路16号
B0004U237010025,济南,建设银行济南市中支行六里山分理处,济南市英雄山路71-6号
B0004U237010028,济南,建设银行济南市中支行泉景天沅分理处,济南市市中区卧龙路与刘长山路交叉口处绿地泉景雅园商务大厦114-122号
B0004U237010029,济南,建设银行济南市中支行体育中心分理处,济南市民生大街58号
B0004U237010033,济南,建设银行济南历城支行华龙路分理处,济南市历城区华龙路1619号2号楼101号房
B0004U237010035,济南,建设银行济南高新支行泉东分理处,济南市花园路35号西沿街楼一楼
B0004U237010037,济南,建设银行济南历下支行能源大厦分理处,济南市经十路10777号山东能源大厦一层
B0004U237010039,济南,建设银行济南交校路支行,济南市交校路9号
B0004U237010040,济南,建设银行济南天桥支行明湖分理处,济南市生产路1号山东鲁能物资交易中心一楼营业大厅
B0004U237010041,济南,建设银行济南天桥支行洛口分理处,济南市天桥区泺安路18号
B0004U237010045,济南,建设银行济南天桥支行五环花苑分理处,济南市天桥区无影山中路50号五环花苑1号楼1层
B0004U237010047,济南,建设银行济南天桥支行金色阳光花园分理处,济南市天桥区堤口路177号金色阳光花园公建楼101室
B0004U237010049,济南,建设银行济南槐荫支行经三纬十路分理处,济南市槐荫区绿地新城11号楼112号至115号房
B0004U237010053,济南,建设银行济南槐荫支行经四纬七路分理处,济南市经四路482号
B0004U237010054,济南,建设银行济南槐荫支行建设路分理处,济南市建设路75号住宅组团公建9-3-101位置
B0004U237010060,济南,建设银行济南天桥支行历山北路分理处,济南市历山北路199号
B0004U237010063,济南,建设银行济南历城支行黄台分理处,济南市历城区工业北路159号
B0004U237010064,济南,建设银行济南历城支行洪楼南路分理处,济南市洪楼南路11-3号
B0004U237010066,济南,建设银行济南历城支行炼油厂分理处,济南炼油厂宿舍区内平价商场东邻
B0004U237010069,济南,建设银行济南章丘支行银星分理处,济南市章丘区埠村镇镇中大街西首
B0004U237010072,济南,建设银行济南长清支行清河街分理处,济南市长清区五峰路529号一楼西侧
B0004U237010073,济南,建设银行济南长清支行振兴分理处,济南市长清区大学路6677号恒大绿洲8号楼3单元
B0004U237010075,济南,建设银行平阴支行老城分理处,平阴县榆山路26号
B0004U237010076,济南,建设银行济南济阳支行前进分理处,济南市济阳区纬三路369号银座商城东南角01号商铺、02号商铺、03号商铺一至二层
B0004V211000007,北京,建设银行北京昌平新龙城支行,北京市昌平区昌平路380号院2号楼1至2层01、02
B0004V211000018,北京,建设银行北京首都机场三号航站楼支行,北京市首都机场3号航站楼（T3A）四层西侧值机区（编号：A4W09）
B0004V211000023,北京,建设银行北京市西城区建展储蓄所,北京市西城区榆树馆西里甲13号
B0004V211000051,北京,建设银行北京市海淀区迎春园储蓄所,北京市海淀区塔院小区迎春园1号楼
B0004V211000052,北京,建设银行北京平谷马坊支行,北京市平谷区马坊镇综合服务中心5号楼15门一、二层
B0004V211000068,北京,建设银行北京市西城区金融街储蓄所,北京市西城区金融街25号
B0004V211000082,北京,建设银行北京北蜂窝路支行,北京市海淀区北蜂窝路14-1号
B0004V211000095,北京,建设银行北京成远支行,北京市海淀区玲珑路9号院东区5号楼1层105
B0004V211000103,北京,建设银行北京市海淀区科南路储蓄所,北京市海淀区知春东里15号楼北侧
B0004V211000121,北京,建设银行北京明日嘉和支行,北京市丰台区马家堡西居住区明日嘉园明日商厦1-125
B0004V211000124,北京,建设银行北京市海淀区金沟河储蓄所,北京市海淀区金沟河路3号院
B0004V211000168,北京,建设银行北京市海淀区五棵松储蓄所,北京市海淀区复兴路28号中国人民解放军总医院门诊楼一层东侧3区房
B0011B211000001,北京,招商银行北京分行,北京市西城区复兴门内大街156号
B0011B232010001,南京,招商银行南京分行,江苏省南京市建邺区庐山路199号
B0011B233010001,杭州,招商银行杭州分行,浙江省杭州市杭大路23号
B0011B236010001,南昌,招商银行南昌分行,南昌市东湖区叠山路468号
